x_m,y_m,pressure_Pa,wall_shear_Pa,x_wall_shear_Pa,y_wall_shear_Pa,cp_manual,side
0.001500000013038516,-0.3958021104335785,-433.4071960449219,0.03079558163881302,0.0,-0.03079558163881302,-0.7578960716130461,back_downstream
0.001500000013038516,-0.3973013460636139,-433.41265869140625,0.03091728501021862,0.0,-0.03091728501021862,-0.7579056241039804,back_downstream
0.001500000013038516,-0.3988006114959717,-433.41815185546875,0.03103906288743019,0.0,-0.03103906288743019,-0.757915229960786,back_downstream
0.001500000013038516,-0.4002998471260071,-433.42364501953125,0.03116094134747982,0.0,-0.03116094134747982,-0.7579248358175915,back_downstream
0.001500000013038516,-0.40179911255836487,-433.4291687011719,0.03128289431333542,0.0,-0.03128289431333542,-0.7579344950402682,back_downstream
0.001500000013038516,-0.40329834818840027,-433.4347229003906,0.03140491619706154,0.0,-0.03140491619706154,-0.757944207628816,back_downstream
0.001500000013038516,-0.40479761362075806,-433.4403076171875,0.03152700141072273,0.0,-0.03152700141072273,-0.757953973583235,back_downstream
0.001500000013038516,-0.40629684925079346,-433.4458923339844,0.0316491425037384,0.0,-0.0316491425037384,-0.757963739537654,back_downstream
0.001500000013038516,-0.40779611468315125,-433.4515075683594,0.03177134320139885,0.0,-0.03177134320139885,-0.757973558857944,back_downstream
0.001500000013038516,-0.40929535031318665,-433.4571533203125,0.03189358487725258,0.0,-0.03189358487725258,-0.7579834315441053,back_downstream
0.001500000013038516,-0.41079461574554443,-433.46282958984375,0.0320158526301384,0.0,-0.0320158526301384,-0.7579933575961376,back_downstream
0.001500000013038516,-0.41229385137557983,-433.468505859375,0.032138146460056305,0.0,-0.032138146460056305,-0.75800328364817,back_downstream
0.001500000013038516,-0.4137931168079376,-433.4742431640625,0.032260507345199585,0.0,-0.032260507345199585,-0.7580133164319447,back_downstream
0.001500000013038516,-0.415292352437973,-433.47998046875,0.03238296881318092,0.0,-0.03238296881318092,-0.7580233492157193,back_downstream
0.001500000013038516,-0.4167916178703308,-433.4857482910156,0.03250551596283913,0.0,-0.03250551596283913,-0.7580334353653652,back_downstream
0.001500000013038516,-0.4182908535003662,-433.49151611328125,0.0326281301677227,0.0,-0.0326281301677227,-0.758043521515011,back_downstream
0.001500000013038516,-0.419790118932724,-433.4973449707031,0.03275080397725105,0.0,-0.03275080397725105,-0.7580537143963991,back_downstream
0.001500000013038516,-0.4212893545627594,-433.503173828125,0.03287351876497269,0.0,-0.03287351876497269,-0.7580639072777872,back_downstream
0.001500000013038516,-0.4227886199951172,-433.509033203125,0.03299631178379059,0.0,-0.03299631178379059,-0.7580741535250464,back_downstream
0.001500000013038516,-0.4242878556251526,-433.5149230957031,0.033119235187768936,0.0,-0.033119235187768936,-0.7580844531381767,back_downstream
0.001500000013038516,-0.4257871210575104,-433.52081298828125,0.03324224799871445,0.0,-0.03324224799871445,-0.7580947527513071,back_downstream
0.001500000013038516,-0.4272863566875458,-433.5267639160156,0.03336534649133682,0.0,-0.03336534649133682,-0.7581051590961798,back_downstream
